Author 1,Author 2,Weights
Achla Marathe,Kristen Maria Summers,1.0
Liang Zhao 0002,Achla Marathe,1.0
Achla Marathe,Naren Ramakrishnan,1.0
Nathan Self,Achla Marathe,1.0
Parang Saraf,Achla Marathe,1.0
Patrick Butler,Achla Marathe,1.0
Rupinder Paul Khandpur,Achla Marathe,1.0
Sathappan Muthiah,Achla Marathe,1.0
Adam Jatowt,Daisuke Kawai,1.0
Adam Jatowt,Katsumi Tanaka,3.0
Yating Zhang,Adam Jatowt,2.0
Johnny Ren,Adam M. Alessio,1.0
Maitham D. Naeemi,Adam M. Alessio,1.0
Nathan Hollcroft,Adam M. Alessio,1.0
Adam M. Alessio,Sohini Roychowdhury,1.0
Adam M. Leadbetter,Eoin O'Grady,1.0
Adam M. Leadbetter,Adam Shepherd,1.0
Adam M. Leadbetter,Damian Smyth,1.0
Adam M. Leadbetter,Robert Fuller,1.0
Eoin O'Grady,Adam Shepherd,1.0
Damian Smyth,Adam Shepherd,1.0
Robert Fuller,Adam Shepherd,1.0
Ali Vanderveld,Addhyan Pandey,1.0
Addhyan Pandey,Angela Han,1.0
Addhyan Pandey,Rajesh Parekh,1.0
Adel Assiri,Ahmed Emam,1.0
Adel Assiri,Hmood Al-Dossari,1.0
Adetokunbo Makanju,Aijun An,1.0
Adetokunbo Makanju,Nick Cercone,1.0
Adetokunbo Makanju,Yonggang Hu,1.0
Adetokunbo Makanju,Zahra Farzanyar,1.0
Adetokunbo Makanju,Zane Zhenhua Hu,1.0
Adi Omari,Benny Kimelfeld,1.0
Adi Omari,Eran Yahav,1.0
Adi Omari,Sharon Shoham,1.0
Adiska Fardani Haryadi,Agung Wahyudi,1.0
Adiska Fardani Haryadi,Haiko Van Der Voort,1.0
Adiska Fardani Haryadi,Joris Hulstijn,1.0
Adiska Fardani Haryadi,Marijn Janssen 0001,1.0
Aditi Gupta 0003,Anupam Joshi,1.0
Aditi Gupta 0003,Claudia Pearce,1.0
Karuna P. Joshi,Aditi Gupta 0003,1.0
Aditi Gupta 0003,Sudip Mittal,1.0
Aditi Gupta 0003,Tim Finin,1.0
Alex Gittens,Aditya Devarakonda,1.0
Aditya Devarakonda,Evan Racah,1.0
Aditya Devarakonda,James Demmel,1.0
Aditya Devarakonda,Jatin Chhugani,1.0
Aditya Devarakonda,Jey Kottalam,1.0
Aditya Devarakonda,Jialin Liu 0002,1.0
Aditya Devarakonda,Jim Harrell,1.0
Aditya Devarakonda,Jiyan Yang,1.0
Aditya Devarakonda,Kristyn J. Maschhoff,1.0
Aditya Devarakonda,Lisa Gerhardt,1.0
Aditya Devarakonda,Michael F. Ringenburg,1.0
Aditya Devarakonda,Michael W. Mahoney,1.0
Aditya Devarakonda,Prabhat,1.0
Aditya Devarakonda,Pramod Sharma,1.0
Aditya Devarakonda,Shane Canon,1.0
Aditya Devarakonda,Venkat Krishnamurthy,1.0
Aditya G. Parameswaran,Jiawei Han 0001,1.0
Tarique Siddiqui,Aditya G. Parameswaran,1.0
Xiang Ren 0001,Aditya G. Parameswaran,1.0
Yihan Gao,Aditya G. Parameswaran,1.0
Aditya Grover,Jure Leskovec,1.0
Jagat Sesh Challa,Aditya Mangla,1.0
Aditya Mangla,Navneet Goyal,1.0
Poonam Goyal,Aditya Mangla,1.0
S. Nikhil 0001,Aditya Mangla,1.0
Aditya Mangla,Sundar Balasubramaniam,1.0
Aditya Pal,Amaç Herdagdelen,1.0
Aditya Pal,Deepayan Chakrabarti,1.0
Aditya Pal,Sourav Chatterji,1.0
Aditya Pal,Sumit Taank,1.0
Chris Xing Tian,Aditya Pan,1.0
Aditya Pan,Yong Chiang Tay,1.0
Clayton Gandy,Adriana Iamnitchi,1.0
John Skovertz,Adriana Iamnitchi,1.0
Xiang Zuo,Adriana Iamnitchi,1.0
Adriano César Machado Pereira,Daniel Hasan Dalip,1.0
Adriano César Machado Pereira,Fabrício Benevenuto,1.0
Flávio Luis Cardeal Pádua,Adriano César Machado Pereira,1.0
Moisés Henrique Ramos Pereira,Adriano César Machado Pereira,1.0
Chenhao Tan,Adrien Friggeri,1.0
Adrien Friggeri,Lada A. Adamic,1.0
Aduri Pavan,J. Smith,1.0
Aduri Pavan,N. V. Vinodchandran,1.0
Aduri Pavan,Paul Quint,1.0
Aduri Pavan,Stephen D. Scott,1.0
Agung Wahyudi,Haiko Van Der Voort,1.0
Joris Hulstijn,Agung Wahyudi,1.0
Agung Wahyudi,Marijn Janssen 0001,1.0
Aharon Abadi,Aidan Shribman,1.0
Aharon Abadi,Alaa Nassar,1.0
Aharon Abadi,Ashraf Haib,1.0
Aharon Abadi,Hisham Yasin,1.0
Aharon Abadi,Roie Melamed,1.0
Ahmad Mahmoody,Charalampos E. Tsourakakis,1.0
Ahmad Mahmoody,Eli Upfal,1.0
Ahmed Emam,Hmood Al-Dossari,1.0
Aidan C. Crook,Ahmed Hassan Awadallah,2.0
Ahmed Hassan Awadallah,Imed Zitouni,2.0
Julia Kiseleva,Ahmed Hassan Awadallah,1.0
Ahmed Hassan Awadallah,Kyle Williams,2.0
Madian Khabsa,Ahmed Hassan Awadallah,2.0
Ahmed Hassan Awadallah,Tasos Anastasakos,1.0
Akram Aldroubi,Ahmet Bugra Koku,1.0
Ali Sekmen,Ahmet Bugra Koku,1.0
Berkay Aydin,Ahmet Küçük,1.0
Ahmet Küçük,Rafal A. Angryk,1.0
Ahmet Soylu,Arild Waaler,1.0
Christian Neuenstadt,Ahmet Soylu,1.0
Ahmet Soylu,Christoforos Svingos,1.0
Ahmet Soylu,Diego Calvanese,1.0
Dimitris Bilidas,Ahmet Soylu,1.0
Ahmet Soylu,Dmitriy Zheleznyakov,1.0
Ernesto Jiménez-Ruiz,Ahmet Soylu,1.0
Evgeny Kharlamov,Ahmet Soylu,1.0
Ahmet Soylu,Guohui Xiao 0001,1.0
Ahmet Soylu,Ian Horrocks,1.0
Konstantina Bereta,Ahmet Soylu,1.0
Ahmet Soylu,Martin Giese,1.0
Ahmet Soylu,Ralf Möller 0001,1.0
Sebastian Brandt 0001,Ahmet Soylu,1.0
Steffen Lamparter,Ahmet Soylu,1.0
Theofilos P. Mailis,Ahmet Soylu,1.0
Ahmet Soylu,Yannis E. Ioannidis,1.0
Ahmet Soylu,Yannis Kotidis,1.0
Özgür L. Özçep,Ahmet Soylu,1.0
Ahsanul Haque,Charu C. Aggarwal,2.0
Ahsanul Haque,Latifur Khan,2.0
Swarup Chandra,Ahsanul Haque,2.0
Ahsanul Haque,Yupeng Gao,1.0
Ahsanul Haque,Zhuoyi Wang,1.0
Aidan C. Crook,Imed Zitouni,2.0
Julia Kiseleva,Aidan C. Crook,1.0
Aidan C. Crook,Kyle Williams,2.0
Madian Khabsa,Aidan C. Crook,2.0
Aidan C. Crook,Tasos Anastasakos,1.0
Alaa Nassar,Aidan Shribman,1.0
Ashraf Haib,Aidan Shribman,1.0
Aidan Shribman,Hisham Yasin,1.0
Roie Melamed,Aidan Shribman,1.0
Fenglong Ma,Aidong Zhang,1.0
Houping Xiao,Aidong Zhang,1.0
Jing Gao 0004,Aidong Zhang,1.0
Lu Su,Aidong Zhang,1.0
Qi Li 0012,Aidong Zhang,1.0
Yunlong Feng,Aidong Zhang,1.0
Morteza Zihayat,Aijun An,1.0
Aijun An,Nick Cercone,1.0
Aijun An,Yonggang Hu,2.0
Zahra Farzanyar,Aijun An,1.0
Zane Zhenhua Hu,Aijun An,2.0
Chenliang Li,Aixin Sun,1.0
Gao Cong,Aixin Sun,2.0
Aixin Sun,Jialong Han,1.0
Jian Xing,Aixin Sun,1.0
Kaiqi Zhao 0001,Aixin Sun,1.0
Zongcheng Ji,Aixin Sun,1.0
Aixin Sun,Zongyang Ma,1.0
Asim Karim,Aizaz Anwar,1.0
Faisal Kamiran,Aizaz Anwar,1.0
Sameen Mansha,Aizaz Anwar,1.0
Ajinkya Prabhune,Anil Keshav,1.0
Ajinkya Prabhune,Hasebullah Ansari,1.0
Ajinkya Prabhune,Jürgen Hesser,1.0
Ajinkya Prabhune,Michael Gertz 0001,1.0
Ajinkya Prabhune,Rainer Stotzka,1.0
Bilal Sadiq,Akhlaq Ahmad,1.0
Akhlaq Ahmad,Emad A. Felemban,1.0
Shahbaz Atta,Akhlaq Ahmad,1.0
Akhlaq Ahmad,Sheikh Nasir Saeed,1.0
Aki-Hiro Sato,Tsutomu Watanabe,1.0
Akihiro Nomura 0002,Hiroki Nishimura,1.0
Akihiro Nomura 0002,Ikuro Sato,1.0
Akihiro Nomura 0002,Satoshi Matsuoka,1.0
Yosuke Oyama,Akihiro Nomura 0002,1.0
Akihiro Nomura 0002,Yukimasa Tamatsu,1.0
Akira Ishii,Masanori Ajito,1.0
Akira Ishii,Yasuko Kawahata,1.0
Yuki Yano,Akira Tajima,1.0
Yukihiro Tagami,Akira Tajima,1.0
Akira Umayabara,Hayato Yamana,1.0
Hiroki Imabayashi,Akira Umayabara,1.0
Yu Ishimaki,Akira Umayabara,1.0
Ali Sekmen,Akram Aldroubi,1.0
Christos Doulkeridis,Akrivi Vlachou,1.0
Akrivi Vlachou,Kjetil Nørvåg,1.0
Mei Saouk,Akrivi Vlachou,1.0
Ashraf Haib,Alaa Nassar,1.0
Alaa Nassar,Hisham Yasin,1.0
Roie Melamed,Alaa Nassar,1.0
Hendrik F. Hamann,Alan Li,1.0
Jeffrey Cwagenberg,Alan Li,1.0
Leda Daehler,Alan Li,1.0
Siyuan Lu,Alan Li,1.0
Theodore G. van Kessel,Alan Li,1.0
Xiaoyan Shao,Alan Li,1.0
Alan Mislove,Christo Wilson,1.0
Le Chen,Alan Mislove,1.0
Mike Lakoju,Alan Serrano,1.0
Alan Woodley,Ling-Xiang Tang,1.0
Alan Woodley,Richi Nayak,1.0
Alan Woodley,Shlomo Geva,1.0
Alan Woodley,Timothy Chappell,1.0
Huasen Wu,Albara Ah Ramli,1.0
Tianxiao Zhang,Albara Ah Ramli,1.0
Albara Ah Ramli,Xin Liu 0002,1.0
Yanan Bao,Albara Ah Ramli,1.0
Albert Banchs,Arturo Azcorra,1.0
Miriam Marciel,Albert Banchs,1.0
Albert Banchs,Mohamed Ahmed,1.0
Albert Banchs,Roberto Gonzalez,1.0
Rubén Cuevas,Albert Banchs,1.0
Albert Banchs,Stefano Traverso,1.0
Albert Bifet,Arinto Murdopo,1.0
Gianmarco De Francisci Morales,Albert Bifet,2.0
Albert Bifet,João Gama 0001,1.0
Albert Bifet,Latifur Khan,1.0
Nicolas Kourtellis,Albert Bifet,1.0
Albert Bifet,Wei Fan 0001,1.0
Alberto Barrón-Cedeño,Alessandro Moschitti,1.0
Alberto Barrón-Cedeño,Antonio Uva 0001,1.0
Giovanni Da San Martino,Alberto Barrón-Cedeño,1.0
Alberto Barrón-Cedeño,Salvatore Romeo,1.0
Aldo Lipani,Allan Hanbury,1.0
Aldo Lipani,Evangelos Kanoulas,1.0
Aldo Lipani,Mihai Lupu,1.0
Alejandro Jaimes,Alice H. Oh,1.0
Amin Mantrach,Alejandro Jaimes,1.0
Joon Hee Kim,Alejandro Jaimes,1.0
Jordi Vallmitjana,Alejandro Jaimes,1.0
Miriam Redi,Alejandro Jaimes,1.0
Yale Song,Alejandro Jaimes,1.0
Ljiljana Stojanovic,Aleksandar Stojadinovic,1.0
Marko Dinic,Aleksandar Stojadinovic,1.0
Nenad Stojanovic,Aleksandar Stojadinovic,1.0
Aleksandr Chuklin,Maarten de Rijke,1.0
Deepak Ajwani,Alessandra Sala,1.0
Jiongqian Liang,Alessandra Sala,1.0
Patrick K. Nicholson,Alessandra Sala,1.0
Alessandra Sala,Srinivasan Parthasarathy 0001,1.0
Alessandro Epasto,Eli Upfal,1.0
Lorenzo De Stefani,Alessandro Epasto,1.0
Alessandro Epasto,Matteo Riondato,1.0
Emilio Ferrara,Alessandro Flammini,1.0
Filippo Menczer,Alessandro Flammini,1.0
Onur Varol,Alessandro Flammini,1.0
Antonio Uva 0001,Alessandro Moschitti,1.0
Daniele Bonadiman,Alessandro Moschitti,1.0
Giovanni Da San Martino,Alessandro Moschitti,1.0
Kateryna Tymoshenko,Alessandro Moschitti,1.0
Salvatore Romeo,Alessandro Moschitti,1.0
Alessandro Panconesi,Erisa Terolli,1.0
Marco Bressan 0002,Alessandro Panconesi,1.0
Alessandro Panconesi,Prabhakar Raghavan,1.0
Stefano Leucci 0001,Alessandro Panconesi,1.0
Bryan Hooi,Alex Beutel,1.0
Alex Beutel,Christos Faloutsos,1.0
Hyun Ah Song,Alex Beutel,1.0
Alex Beutel,Kijung Shin,1.0
Alex Beutel,Neil Shah,1.0
Alexandros Ntoulas,Alex Delis,1.0
Katia Papakonstantinopoulou,Alex Delis,1.0
Panagiotis Liakos,Alex Delis,2.0
Alex Deng,Xiaolin Shi,1.0
Alex Gittens,Evan Racah,1.0
Alex Gittens,James Demmel,1.0
Alex Gittens,Jatin Chhugani,1.0
Alex Gittens,Jey Kottalam,1.0
Alex Gittens,Jialin Liu 0002,1.0
Alex Gittens,Jim Harrell,1.0
Alex Gittens,Jiyan Yang,1.0
Alex Gittens,Kristyn J. Maschhoff,1.0
Alex Gittens,Lisa Gerhardt,1.0
Alex Gittens,Michael F. Ringenburg,1.0
Alex Gittens,Michael W. Mahoney,1.0
Alex Gittens,Prabhat,1.0
Alex Gittens,Pramod Sharma,1.0
Alex Gittens,Shane Canon,1.0
Alex Gittens,Venkat Krishnamurthy,1.0
Brian Wilson,Alex Goodman,1.0
Chris Mattmann,Alex Goodman,1.0
Kim Whitehall,Alex Goodman,1.0
Alex Goodman,Maziyar Boustani,1.0
Alex Goodman,Paul M. Ramirez,1.0
Alex Goodman,Paul Zimdars,1.0
Rahul Palamuttam,Alex Goodman,1.0
Alex Goodman,Sujen Shah,1.0
Amidu Oloso,Alex Poliakov,1.0
Alex Poliakov,Hongfeng Yu,1.0
Kwo-Sen Kuo,Alex Poliakov,1.0
Paul Brown,Alex Poliakov,1.0
Thomas L. Clune,Alex Poliakov,1.0
Dan Tasse,Alex Sciuto,1.0
Alex Sciuto,Jason I. Hong,1.0
Cheng Chen 0019,Alex Thomo,2.0
Diana Popova,Alex Thomo,1.0
Fang Dong,Alex Thomo,1.0
Kui Wu 0001,Alex Thomo,2.0
Ran Wei,Alex Thomo,1.0
Sean Chester,Alex Thomo,1.0
Shu Chen,Alex Thomo,1.0
Venkatesh Srinivasan 0001,Alex Thomo,2.0
Chang Yang,Alex X. Liu,1.0
Huigui Rong,Alex X. Liu,1.0
M. Zubair Shafiq,Alex X. Liu,1.0
Xun Zhou,Alex X. Liu,1.0
Julian J. McAuley,Alex Yang,1.0
Alexander Brodsky 0001,M. Omar Nachawati,1.0
Alexander Brodsky 0001,Mohan Krishnamoorthy,1.0
Alexander Brodsky 0001,William Z. Bernstein,1.0
Alexander C. Shulyak,Lizy K. John,1.0
Alexander G. Nikolaev,Shounak Gore,1.0
Alexander G. Nikolaev,Venu Govindaraju,1.0
Christian Beecks,Alexander Graß,1.0
Aravind Mohan,Alexander Kotov,1.0
Mahdi Ebrahimi,Alexander Kotov,1.0
Saeid Balaneshinkordan,Alexander Kotov,1.0
Shiyong Lu,Alexander Kotov,1.0
Alexander Markowetz,Maria Christoforaki,1.0
Pascal Welke,Alexander Markowetz,1.0
Alexander Markowetz,Torsten Suel,1.0
Emanuel Jöbstl,Alexander Noe,1.0
Huyen Chau Nguyen,Alexander Noe,1.0
Alexander Noe,Matthias Stumpp,1.0
Michael Axtmann,Alexander Noe,1.0
Alexander Noe,Peter Sanders 0001,1.0
Sebastian Lamm,Alexander Noe,1.0
Alexander Noe,Sebastian Schlag,1.0
Timo Bingmann,Alexander Noe,1.0
Alexander Noe,Tobias Sturm,1.0
Alexander Ororbia,Bart Pursel,1.0
Alexander Ororbia,C. Lee Giles,1.0
Alexander Ororbia,Chen Liang 0001,1.0
Alexander Ororbia,Kyle Williams,1.0
Shuting Wang,Alexander Ororbia,1.0
Alexander Ororbia,Zhaohui Wu 0002,1.0
Alexander S. Kotov,Karrie G. Karahalios,1.0
Nikita V. Spirin,Alexander S. Kotov,1.0
Alexander S. Kotov,Pavel A. Izhutov,1.0
Alexander S. Kotov,Vassil Mladenov,1.0
Alexander Stiemer,Heiko Schuldt,1.0
Alexander Stiemer,Ilir Fetai,1.0
Alexander Ulanov,Burak Yavuz,1.0
Alexander Ulanov,Evan R. Sparks,1.0
Alexander Ulanov,Li Pu,1.0
Alexander Ulanov,Matei Zaharia,1.0
Reza Bosagh Zadeh,Alexander Ulanov,1.0
Alexander Ulanov,Shivaram Venkataraman,1.0
Xiangrui Meng,Alexander Ulanov,1.0
Alexandra Olteanu,Emre Kiciman,1.0
Alexandra Olteanu,Onur Varol,1.0
Ethan R. Elenberg,Alexandros G. Dimakis,1.0
Karthikeyan Shanmugam,Alexandros G. Dimakis,1.0
Michael Borokhovich,Alexandros G. Dimakis,1.0
Angen Zheng,Alexandros Labrinidis,1.0
Alexandros Labrinidis,Jack Lange,1.0
Alexandros Labrinidis,Panos K. Chrysanthis,1.0
Panagiotis Liakos,Alexandros Ntoulas,1.0
Alexandru Costan,Esther Pacitti,1.0
Alexandru Costan,Gabriel Antoniu,1.0
Ji Liu 0003,Alexandru Costan,1.0
Luis Pineda-Morales,Alexandru Costan,1.0
Alexandru Costan,Marta Mattoso,1.0
Alexandru Costan,Patrick Valduriez,1.0
Alexey Borisov,Ilya Markov,1.0
Alexey Borisov,Maarten de Rijke,2.0
Alexey Borisov,Pavel Serdyukov,2.0
Alexey Poyarkov,Alexey Drutsa,1.0
Alexey Drutsa,Andrey Khalyavin,1.0
Alexey Drutsa,Gleb Gusev,1.0
Alexey Drutsa,Pavel Serdyukov,1.0
Alexey Poyarkov,Andrey Khalyavin,1.0
Alexey Poyarkov,Gleb Gusev,1.0
Alexey Poyarkov,Pavel Serdyukov,1.0
Alexey Svyatkovskiy,Kosuke Imai,1.0
Alexey Svyatkovskiy,Mary Kroeger,1.0
Alexey Svyatkovskiy,Yuki Shiraito,1.0
Mike D'Arcy,Alexis Rodriguez,1.0
Alexis Rodriguez,Arthur W. Toga,1.0
Benjamin D. Heavner,Alexis Rodriguez,1.0
Carl Kesselman,Alexis Rodriguez,1.0
Alexis Rodriguez,Carole A. Goble,1.0
Alexis Rodriguez,Eric W. Deutsch,1.0
Ian T. Foster,Alexis Rodriguez,1.0
Alexis Rodriguez,Ivo D. Dinov,1.0
Alexis Rodriguez,Kristi Clark,1.0
Kyle Chard,Alexis Rodriguez,1.0
Alexis Rodriguez,Nathan D. Price 0001,1.0
Ravi K. Madduri,Alexis Rodriguez,1.0
Alexis Rodriguez,Stian Soiland-Reyes,1.0
Belainine Billal,Alexsandro Fonseca,1.0
Alexsandro Fonseca,Fatiha Sadat,1.0
Alfredo Cuzzocrea,Carlo Mastroianni,1.0
Alfredo Cuzzocrea,Giorgio Mario Grasso,1.0
Ali Braytee,Daniel R. Catchpoole,1.0
Ali Braytee,Paul J. Kennedy,1.0
Ali Braytee,Wei Liu 0007,1.0
Ali Vanderveld,Angela Han,1.0
Ali Vanderveld,Rajesh Parekh,1.0
Amin Mantrach,Alice H. Oh,1.0
Joon Hee Kim,Alice H. Oh,1.0
Ken Yocum,Alin Deutsch,1.0
Vicky Papavasileiou,Alin Deutsch,1.0
Walaa Eldin Moustafa,Alin Deutsch,1.0
Alistair Moffat,Anthony Wirth,1.0
Kewen Liao,Alistair Moffat,1.0
Matthias Petri,Alistair Moffat,1.0
Alla Rozovskaya,Andy Doyle,1.0
Alla Rozovskaya,Anil Vullikanti,1.0
Alla Rozovskaya,Chang-Tien Lu,1.0
Alla Rozovskaya,David Mares,1.0
Alla Rozovskaya,Dipak K. Gupta,1.0
Alla Rozovskaya,Graham Katz,1.0
Alla Rozovskaya,Jaime Arredondo,1.0
Alla Rozovskaya,Jose Cadena,1.0
Alla Rozovskaya,Kristen Maria Summers,1.0
Alla Rozovskaya,Liang Zhao 0002,1.0
Alla Rozovskaya,Naren Ramakrishnan,1.0
Nathan Self,Alla Rozovskaya,1.0
Parang Saraf,Alla Rozovskaya,1.0
Patrick Butler,Alla Rozovskaya,1.0
Rupinder Paul Khandpur,Alla Rozovskaya,1.0
Sathappan Muthiah,Alla Rozovskaya,1.0
Allan Hanbury,Andreas Rauber,1.0
Evangelos Kanoulas,Allan Hanbury,1.0
Allan Hanbury,Guido Zuccon,2.0
João R. M. Palotti,Allan Hanbury,2.0
Linda Andersson,Allan Hanbury,1.0
Mihai Lupu,Allan Hanbury,3.0
