Author 1,Author 2,Weights
Charles M. Doutriaux,Alessandro D'Anca,1.0
Cosimo Palazzo,Alessandro D'Anca,1.0
Alessandro D'Anca,Davide Salomoni,1.0
Alessandro D'Anca,Dean N. Williams,1.0
Donatello Elia,Alessandro D'Anca,1.0
Alessandro D'Anca,Germán Moltó,1.0
Alessandro D'Anca,Giacinto Donvito,1.0
Alessandro D'Anca,Giovanni Aloisio,1.0
Alessandro D'Anca,Ignacio Blanquer,1.0
J. Boutte,Alessandro D'Anca,1.0
Marcin Plóciennik,Alessandro D'Anca,1.0
Alessandro D'Anca,Marco Fargetta,1.0
Michal Owsiak,Alessandro D'Anca,1.0
Alessandro D'Anca,Miguel Caballer,1.0
Alessandro D'Anca,Mário David,1.0
Alessandro D'Anca,Riccardo Bruno,1.0
Alessandro D'Anca,Roberto Barbera,1.0
Sandro Fiore,Alessandro D'Anca,1.0
Tomasz Zok,Alessandro D'Anca,1.0
Alessandro D'Anca,V. Anantharaj,1.0
Alessandro D'Anca,Z. Shaheen,1.0
Brendan O'Connor,James Allan,1.0
John Foley,Brendan O'Connor,1.0
Chiheb-Eddine Ben N'cir,Nadia Essoussi,1.0
Robert Fuller,Eoin O'Grady,1.0
Mike D'Arcy,Nathan D. Price 0001,1.0
Mike D'Arcy,Ravi K. Madduri,1.0
Mike D'Arcy,Stian Soiland-Reyes,1.0
Sergey Faleev,Sean O'Donnell,1.0
A. Aziz Altowayan,Lixin Tao,1.0
A. Munoz-Jaramillo,C. E. DeForest,1.0
A. Munoz-Jaramillo,D. A. Lamb,1.0
A. Munoz-Jaramillo,D. W. Longcope,1.0
A. Munoz-Jaramillo,J. C. Windmueller,1.0
A. Munoz-Jaramillo,J. P. Vargas-Acosta,1.0
A. Munoz-Jaramillo,J. W. Harvey,1.0
A. Munoz-Jaramillo,J. Zhang,1.0
A. Munoz-Jaramillo,M. D. DeLuca,1.0
A. Munoz-Jaramillo,P. C. H. Martens,1.0
A. Munoz-Jaramillo,S. Vargas-Dominguez,1.0
A. Munoz-Jaramillo,Z. A. Werginz,1.0
A. Murat Ozbayoglu,Aras Onal,1.0
Erdogan Dogdu,A. Murat Ozbayoglu,3.0
Omer Berat Sezer,A. Murat Ozbayoglu,1.0
Sercan Kulcu,A. Murat Ozbayoglu,1.0
A. Murat Ozbayoglu,Yusuf Gökhan Küçükayan,1.0
Aaron Cahn,Paul Barford,1.0
Aaron Cahn,S. Muthukrishnan,1.0
Aaron Cahn,Scott Alfeld,1.0
Daniel B. Larremore,Aaron Clauset,1.0
Samuel F. Way,Aaron Clauset,1.0
Aaron Gerow,Eamon Duede,1.0
Kyle Chard,Aaron Gerow,1.0
Yadu N. Babuji,Aaron Gerow,1.0
Diyi Yang,Aaron Halfaker,1.0
Aaron Halfaker,Eduard H. Hovy,1.0
Aaron Halfaker,Robert E. Kraut,1.0
Aaron Levine,Ankur Datta,1.0
Aaron Levine,Giuseppe Di Fabbrizio,1.0
Pradipto Das,Aaron Levine,1.0
Yandi Xia,Aaron Levine,1.0
Alexander Ulanov,Aaron Staple,1.0
Burak Yavuz,Aaron Staple,1.0
Evan R. Sparks,Aaron Staple,1.0
Li Pu,Aaron Staple,1.0
Aaron Staple,Matei Zaharia,1.0
Reza Bosagh Zadeh,Aaron Staple,1.0
Shivaram Venkataraman,Aaron Staple,1.0
Xiangrui Meng,Aaron Staple,1.0
Mohammad Mehedy Masud,Abdel Rahman Al Harahsheh,1.0
Abdel-Rahman H. Tawil,Elyes Lamine,1.0
Kingsley Okoye,Abdel-Rahman H. Tawil,1.0
Abdel-Rahman H. Tawil,Syed Islam,1.0
Abdel-Rahman H. Tawil,Usman Naeem,1.0
Abdeltawab M. Hendawi,Fatemah Alali,1.0
Hao Wu,Abdeltawab M. Hendawi,1.0
Haoran Liu,Abdeltawab M. Hendawi,1.0
Jieming Bin,Abdeltawab M. Hendawi,1.0
Abdeltawab M. Hendawi,John A. Stankovic,1.0
Nada Basit,Abdeltawab M. Hendawi,2.0
Abdeltawab M. Hendawi,Tianshu Zhou,1.0
Abdeltawab M. Hendawi,Xiao Liu,1.0
Abdeltawab M. Hendawi,Xiaoyu Wang,1.0
Yijun He,Abdeltawab M. Hendawi,1.0
Abdeltawab M. Hendawi,Yunfei Guan,1.0
Yutong Zhang,Abdeltawab M. Hendawi,1.0
Abdesattar Mhadhbi,Badran Raddaoui,1.0
Abdesattar Mhadhbi,Lakhdar Sais,1.0
Nizar Mhadhbi,Abdesattar Mhadhbi,1.0
Saïd Jabbour,Abdesattar Mhadhbi,1.0
Biplob Debnath,Abdullah Mueen,1.0
Abdullah Mueen,Eamonn J. Keogh,1.0
Guofei Jiang,Abdullah Mueen,1.0
Hossein Hamooni,Abdullah Mueen,1.0
Hui Zhang 0002,Abdullah Mueen,1.0
Jianwu Xu,Abdullah Mueen,1.0
Abhijnan Chakraborty,Krishna P. Gummadi,1.0
Abhijnan Chakraborty,Niloy Ganguly,1.0
Abhijnan Chakraborty,Saptarshi Ghosh 0001,1.0
Ganesh Venkataraman,Abhimanyu Lad,1.0
Abhimanyu Lad,Lin Guo,1.0
Abhimanyu Lad,Shakti Sinha,1.0
Charles Siegel,Abhinav Vishnu,1.0
Jeff Daily,Abhinav Vishnu,1.0
Aparna Oruganti,Abhishek Dubey,1.0
Fangzhou Sun,Abhishek Dubey,1.0
Hiba Baroud,Abhishek Dubey,1.0
Evangelia Christakopoulou,Abhishek Gupta,1.0
Shipeng Yu,Abhishek Gupta,1.0
Abhishek Sikchi,Pawan Goyal,1.0
Abhishek Sikchi,Samik Datta,1.0
Anna Hennig,Abid Hussain,1.0
Anne-Sofie Amodt,Abid Hussain,1.0
Benjamin Flesch,Abid Hussain,2.0
Florian Winder,Abid Hussain,1.0
Helene Mejer Nygardsmoen,Abid Hussain,1.0
Henrik Hernes,Abid Hussain,1.0
Henrikke Hovda Larsen,Abid Hussain,1.0
Johanna Margareta Forsberg,Abid Hussain,1.0
Linda Camilla Boldt,Abid Hussain,1.0
Mats Ekran,Abid Hussain,1.0
Melanie Schnittger,Abid Hussain,1.0
Niels Buus Lassen,Abid Hussain,1.0
Peter Arenfeldt Larsen,Abid Hussain,1.0
Raghava Rao Mukkamala,Abid Hussain,3.0
Abid Hussain,Ravi Vatrapu,3.0
Sigrid Viken Hemstad,Abid Hussain,1.0
Vinothan Vinayagamoorthy,Abid Hussain,1.0
Abir Zayani,Chiheb-Eddine Ben N'cir,1.0
Abir Zayani,Nadia Essoussi,1.0
Lei Zhang 0034,Achim Rettinger,1.0
Michael Färber 0001,Achim Rettinger,1.0
Chikashi Nobata,Achint Thomas,1.0
Joel R. Tetreault,Achint Thomas,1.0
Achint Thomas,Yashar Mehdad,1.0
Achint Thomas,Yi Chang 0001,1.0
Chong Wang,Achir Kalra,1.0
Achir Kalra,Cristian Borcea,1.0
Achir Kalra,Yi Chen 0001,1.0
Alla Rozovskaya,Achla Marathe,1.0
Achla Marathe,Andy Doyle,1.0
Anil Vullikanti,Achla Marathe,1.0
Chang-Tien Lu,Achla Marathe,1.0
Achla Marathe,David Mares,1.0
Achla Marathe,Dipak K. Gupta,1.0
Achla Marathe,Graham Katz,1.0
Achla Marathe,Jaime Arredondo,1.0
Jose Cadena,Achla Marathe,1.0
