Author 1,Author 2,Weights
Abhishek Goswami,Ivan Matantsev,1.0
Abhishek Goswami,Jignesh Parmar,1.0
Abhishek Goswami,Justin Ormont,1.0
Abhishek Goswami,Markus Weimer,1.0
Abhishek Goswami,Matteo Interlandi,1.0
Mikhail Bilenko,Abhishek Goswami,1.0
Abhishek Goswami,Mohammad Zeeshan Siddiqui,1.0
Abhishek Goswami,Monte Hoover,1.0
Abhishek Goswami,Najeeb Kazmi,1.0
Abhishek Goswami,Pete Luferenko,1.0
Abhishek Goswami,Prabhat Roy,1.0
Rogan Carr,Abhishek Goswami,1.0
Saeed Amizadeh,Abhishek Goswami,1.0
Abhishek Goswami,Scott Inglis,1.0
Senja Filipi,Abhishek Goswami,1.0
Abhishek Goswami,Sergiy Matusevych,1.0
Abhishek Goswami,Shahab Moradi,1.0
Abhishek Goswami,Shauheen Zahirazami,1.0
Tom Finley,Abhishek Goswami,1.0
Vadim Eksarevskiy,Abhishek Goswami,1.0
Wei-Sheng Chin,Abhishek Goswami,1.0
Xavier Dupré,Abhishek Goswami,1.0
Yael Dekel,Abhishek Goswami,1.0
Abhishek Goswami,Yiwen Zhu,1.0
Zeeshan Ahmed,Abhishek Goswami,1.0
Abhishek Gupta 0001,Allan NengSheng Zhang,1.0
Abhishek Gupta 0001,Allan Zhang NengSheng,1.0
Abhishek Gupta 0001,Mojtaba Shakeri,2.0
Abhishek Gupta 0001,Xu Chi,2.0
Abhishek Gupta 0001,Yew-Soon Ong,2.0
Qinghan Xue,Abhishek Kolagunda,1.0
Abhishek Kolagunda,Steven Eliuk,1.0
Abhishek Kolagunda,Xiaolong Wang 0006,1.0
Abhishek Pratap Singh,Amitabha Bagchi,1.0
Chak Fai Yuen,Abhishek Pratap Singh,1.0
Abhishek Pratap Singh,Sagar Goyal,1.0
Abhishek Pratap Singh,Sayan Ranu,1.0
Abhishek Pratap,Brian M. Bot,1.0
Elias Chaibub Neto,Abhishek Pratap,1.0
Abhishek Pratap,Lara Mangravite,1.0
Abhishek Pratap,Larsson Omberg,1.0
Abhishek Pratap,Meghasyam Tummalacherla,1.0
Abhishek Pratap,Thanneer M. Perumal,1.0
Abolfazl Asudeh,Bill Howe,1.0
Chenkai Sun,Abolfazl Asudeh,1.0
Abolfazl Asudeh,H. V. Jagadish,1.0
Abolfazl Asudeh,Julia Stoyanovich,1.0
Daniele Dell'Aglio,Abraham Bernstein,1.0
Bibek Paudel,Abraham Bernstein,1.0
Hai Zhu,Abraham Bernstein,1.0
Abraham Bernstein,Huajun Chen,1.0
Jiaoyan Chen,Abraham Bernstein,1.0
Liang Wang,Abraham Bernstein,1.0
Tobias Grubenmann,Abraham Bernstein,1.0
Wei Zhang 0127,Abraham Bernstein,1.0
Wen Zhang 0015,Abraham Bernstein,1.0
Abrar Rahman,Anusheh Abdullah,1.0
Abrar Rahman,Ari Mitra,1.0
Abrar Rahman,Fuad Rahman,1.0
Abrar Rahman,Hailey Swanson,1.0
Abrar Rahman,Marvin J. Slepian,2.0
Abrar Rahman,Rebecca Slepian,1.0
Abrar Rahman,Yonathan Weiner,1.0
Chenguang Fang,Acan Gui,1.0
Shaoxu Song,Acan Gui,1.0
Zhiwei Chen,Acan Gui,1.0
Ace Dimitrievski,Cas Apanowicz,1.0
Eftim Zdravevski,Ace Dimitrievski,1.0
Ace Dimitrievski,Marek Grzegorowski,1.0
Petre Lameski,Ace Dimitrievski,1.0
Achal Agarwal,Kirti Singh Rathore,1.0
Navneet Goyal,Achal Agarwal,1.0
Achal Agarwal,Nischay Singh,1.0
Poonam Goyal,Achal Agarwal,1.0
Saiyedul Islam,Achal Agarwal,1.0
Sundar Balasubramaniam,Achal Agarwal,1.0
Achilleas Psyllidis,Alessandro Bozzon,1.0
Achilleas Psyllidis,Geert-Jan Houben,1.0
Sihang Qiu,Achilleas Psyllidis,1.0
Achir Kalra,Chong Wang,2.0
Achir Kalra,Cristian Borcea,2.0
Shuai Zhao,Achir Kalra,1.0
Achir Kalra,Yi Chen 0001,2.0
Ke Wang 0001,Ada Wai-Chee Fu,1.0
Ada Wai-Chee Fu,Raymond Chi-Wing Wong,1.0
Weipeng Lin,Ada Wai-Chee Fu,1.0
Zhilin Zhang,Ada Wai-Chee Fu,1.0
Aseel Addawood,Adam Badawy,1.0
Adam Badawy,Emilio Ferrara,1.0
Adam Badawy,Kristina Lerman,1.0
Alexandra Vtyurina,Adam Fourney,1.0
Adam Fourney,Ece Kamar,1.0
Adam Fourney,Leah Findlater,1.0
Adam Fourney,Meredith Ringel Morris,1.0
Adam Fourney,Ryen W. White,1.0
Yongsung Kim,Adam Fourney,1.0
Adam Henderson,Diane Hu,1.0
Hao Jiang,Adam Henderson,1.0
Adam Henderson,Liangjie Hong,1.0
Adam J. Storm,C. Mohan 0001,1.0
Adam J. Storm,Christian Garcia-Arellano,1.0
Adam J. Storm,Guy M. Lohman,1.0
Adam J. Storm,Hamid Pirahesh,1.0
Adam J. Storm,Pinar Tözün,1.0
Adam J. Storm,René Müller 0001,1.0
Adam J. Storm,Richard Sidle,1.0
Ronald Barber,Adam J. Storm,1.0
Adam J. Storm,Ronen Grosman,1.0
Adam J. Storm,Vijayshankar Raman,1.0
Adam J. Storm,Yingjun Wu,1.0
Adam J. Storm,Yuanyuan Tian,1.0
Adam Jatowt,Antoine Doucet,1.0
Adam Jatowt,Ricardo Campos 0001,1.0
Adam Jatowt,Sourav S. Bhowmick,1.0
Gregory Jansen,Adam Soroka,1.0
Adam Soroka,Richard Marciano,1.0
Addi Ait-Mlouk,Erik Elmroth,1.0
Addi Ait-Mlouk,Lili Jiang,1.0
Xuan-Son Vu,Addi Ait-Mlouk,1.0
Adil Alim,Feng Chen 0001,1.0
Adil Alim,Jin-Hee Cho,1.0
Adil Alim,Xujiang Zhao,1.0
Adit Krishnan,Hari Cheruvu,1.0
Adit Krishnan,Hari Sundaram,1.0
Adit Krishnan,Tao Cheng 0001,1.0
Aditi Malladi,Andréa M. Matsunaga,1.0
Icaro Alzuru,Aditi Malladi,1.0
Aditi Malladi,José A. B. Fortes,1.0
Aditi Malladi,Maurício O. Tsugawa,1.0
Elke A. Rundensteiner,Aditya Arora,1.0
Jihane Zouaoui,Aditya Arora,1.0
Xiangnan Kong,Aditya Arora,1.0
Zhongfang Zhuang,Aditya Arora,1.0
Amol Deshpande,Aditya G. Parameswaran,1.0
Theodoros Rekatsinas,Aditya G. Parameswaran,1.0
Aditya Pal,Chuck Rosenberg,1.0
Jiaxuan You,Aditya Pal,1.0
Aditya Pal,Jure Leskovec,1.0
Aditya Pal,Pong Eksombatchai,1.0
Yichen Wang 0001,Aditya Pal,1.0
Adrian Stetco,Anees Mohammed,1.0
Adrian Stetco,Goran Nenadic,1.0
Adrian Stetco,John A. Keane,1.0
Adrian Stetco,Sinisa Djurovic,1.0
Adrien Guille,Julien Velcin,1.0
Robin Brochier,Adrien Guille,1.0
Aekyeung Moon,Jialing Zhang,1.0
Aekyeung Moon,Seung Woo Son 0001,1.0
Aekyeung Moon,Xiaoyan Zhuo,1.0
Afonso Mendes,Andreas Vlachos 0001,1.0
Afonso Mendes,Andrew Secker,1.0
David Nogueira,Afonso Mendes,1.0
Afonso Mendes,Jeff Mitchell,1.0
Afonso Mendes,Rebecca Garrett,1.0
Sebastião Miranda,Afonso Mendes,1.0
Afonso Mendes,Zita Marinho,1.0
Andreas Francois Vermeulen,Agastya Silvina,1.0
Agastya Silvina,Andreas Pitsillides,1.0
Axel Legay,Agastya Silvina,1.0
Agastya Silvina,Christos Fidas,1.0
E. Blackledge,Agastya Silvina,1.0
George Stylianou,Agastya Silvina,1.0
Juliana Küster Filipe Bowles,Agastya Silvina,1.0
Agastya Silvina,M. Kumar,1.0
Agastya Silvina,Marios Belk,1.0
Agastya Silvina,Michael Rossbory,1.0
Michael Vinov,Agastya Silvina,1.0
R. Arredouani,Agastya Silvina,1.0
Thomas Given-Wilson,Agastya Silvina,1.0
Vladimir Janjic,Agastya Silvina,1.0
W. Huang,Agastya Silvina,1.0
Andrzej Janusz,Agnieszka Chadzynska-Krasowska,1.0
Agnieszka Chadzynska-Krasowska,Bartek Konarski,1.0
Daniel Kaluza,Agnieszka Chadzynska-Krasowska,1.0
Agnieszka Chadzynska-Krasowska,Dominik Slezak,1.0
Agnieszka Chadzynska-Krasowska,Joel Holland,1.0
Agustin Zuniga,Eemil Lagerspetz,1.0
Agustin Zuniga,Huber Flores,1.0
Agustin Zuniga,Jukka Manner,1.0
Agustin Zuniga,Pan Hui 0001,1.0
Agustin Zuniga,Petteri Nurmi,1.0
Agustin Zuniga,Sasu Tarkoma,1.0
Jon Reginbald Ivarsson,Ahmad Al-Shishtawy,1.0
Ahmad Al-Shishtawy,Vladimir Vlassov,1.0
Zainab Abbas,Ahmad Al-Shishtawy,1.0
Porter Jenkins,Ahmad Farag,1.0
Ahmad Farag,Suhang Wang,1.0
Ahmad Farag,Zhenhui Li,1.0
Meznah A. Alamro,Ahmad O. Aseeri,1.0
Ahmad O. Aseeri,Mohammed Saeed Alkatheiri,1.0
Yu Zhuang,Ahmad O. Aseeri,1.0
Ahmad Slo,Albert Flaig,1.0
Ahmad Slo,Kurt Rothermel,1.0
Ahmad Slo,Sukanya Bhowmik,1.0
Ahmed El-Kishky,Aston Zhang,1.0
Ahmed El-Kishky,Frank F. Xu,1.0
Hyungsul Kim,Ahmed El-Kishky,1.0
Ahmed El-Kishky,Jiawei Han 0001,2.0
Ahmed El-Kishky,Xiang Ren 0001,1.0
Ahmed Eldawy,Vagelis Hristidis,1.0
Fang Qiao,Ahmed Hassan Awadallah,1.0
Joel Mackenzie,Ahmed Hassan Awadallah,1.0
Kshitiz Gupta,Ahmed Hassan Awadallah,1.0
Ahmed Hassan Awadallah,Milad Shokouhi,1.0
Ahmed Lasisi,Allan Zarembski,1.0
Ahmed Lasisi,Antonio Merheb,1.0
Ahmed Lasisi,Nii O. Attoh-Okine,1.0
Ahmed M. Balfagih,Vlado Keselj,1.0
Ahmed Rashed,Josif Grabocka,1.0
Ahmed Rashed,Lars Schmidt-Thieme,2.0
Shayan Jawed,Ahmed Rashed,1.0
Seyed-Vahid Sanei-Mehri,Ahmet Erdem Sariyüce,1.0
Ahmet Erdem Sariyüce,Srikanta Tirthapura,1.0
Yu Zhang,Ahmet Erdem Sariyüce,1.0
Mehmet Selman Sezgin,Ahmet Tugrul Bayrak,1.0
Ahmet Tugrul Bayrak,Olcay Taner Ytldtz,1.0
Chathura Widanage,Ahmet Uyar,1.0
Gregor von Laszewski,Ahmet Uyar,1.0
Ahmet Uyar,Gurhan Gunduz,1.0
Kannan Govindarajan,Ahmet Uyar,1.0
Niranda Perera,Ahmet Uyar,1.0
Pulasthi Wickramasinghe,Ahmet Uyar,1.0
Ahmet Uyar,Selahattin Akkas,1.0
Supun Kamburugamuve,Ahmet Uyar,1.0
Vibhatha Abeykoon,Ahmet Uyar,1.0
Chen Wang,Aibek Musaev,1.0
Deke Guo,Aibo Guo,1.0
Qianzhen Zhang,Aibo Guo,1.0
Xiang Zhao 0002,Aibo Guo,1.0
Zerong Liu,Aidong Lu,1.0
Aidong Yang,Fanyu Meng,1.0
Aidong Yang,Shuming Zeng,1.0
Ye Ouyang,Aidong Yang,1.0
Guangxu Xun,Aidong Zhang,1.0
Kishlay Jha,Aidong Zhang,1.0
Yaqing Wang,Aidong Zhang,1.0
Aileen Benedict,Elise Demeter,1.0
Erfan Al-Hossami,Aileen Benedict,1.0
Mohsen Dorodchi,Aileen Benedict,1.0
Ailing Piao,Dongxin Liu,1.0
Ailing Piao,Huajie Shao,1.0
Ailing Piao,Jiawei Han 0001,1.0
Ailing Piao,Jinyang Li 0004,1.0
Ailing Piao,Lu Su,1.0
Ailing Piao,Shaohan Hu,1.0
Ailing Piao,Shengzhong Liu,1.0
Shuochao Yao,Ailing Piao,1.0
Ailing Piao,Tarek F. Abdelzaher,1.0
Ailing Piao,Tianshi Wang,1.0
Ailing Piao,Wenjun Jiang,1.0
Ailing Piao,Yiran Zhao,1.0
Kaiqi Zhao 0001,Aiqun Hu,1.0
Kaiyu Feng,Aiqun Hu,1.0
Lanting Fang,Aiqun Hu,1.0
Yong Luo,Aiqun Hu,1.0
Dongxiang Zhang,Airong Jiang,1.0
Airong Jiang,Hui Xiong 0001,1.0
Jin Xu,Airong Jiang,1.0
Jingbo Zhou,Airong Jiang,1.0
Renjun Hu,Airong Jiang,1.0
Shan Gou,Airong Jiang,1.0
Airong Jiang,Ying Li,1.0
Chen Zhe,Aixin Sun,1.0
Gao Cong,Aixin Sun,1.0
Aixin Sun,Minlie Huang,1.0
Aixin Sun,Xiaokui Xiao,1.0
Aixin Sun,Xiaoyan Zhu 0001,1.0
Xiucheng Li,Aixin Sun,1.0
Yequan Wang,Aixin Sun,1.0
Aixin Sun,Yun Cheng,1.0
Masha Gorkovenko,Ajay Dholakia,1.0
Miro Hodak,Ajay Dholakia,1.0
Ajay Rastogi,Syed Afzal Murtaza Rizvi,1.0
Syed Shafat Ali,Ajay Rastogi,1.0
Tarique Anwar,Ajay Rastogi,1.0
Ajit Kumar 0001,Andrii Shalaginov,1.0
Ajit Kumar 0001,Bhawna Yadav,1.0
Ajit Kumar 0001,Saket Upadhyay,1.0
Ajit Kumar 0001,Shishir K. Shandilya,1.0
Ajit Kumar 0001,Vinti Agarwal,1.0
Ajitesh Srivastava,Charalampos Chelmis,1.0
Ajitesh Srivastava,Rajgopal Kannan,1.0
Ajitesh Srivastava,Viktor K. Prasanna,1.0
Akankshya Mishra,Yashvardhan Sharma,1.0
Fahimeh Mirza Soltani,Akbar Siami Namin,1.0
Faranak Abri,Akbar Siami Namin,1.0
Mahdi Adl Khanghah,Akbar Siami Namin,1.0
Neda Tavakoli,Akbar Siami Namin,1.0
Sima Siami-Namini,Akbar Siami Namin,2.0
Akhil Arora 0001,Arnab Bhattacharya 0001,1.0
Jithin Vachery,Akhil Arora 0001,1.0
Akhil Arora 0001,Sayan Ranu,1.0
Chen Qian 0003,Akhil Kumar 0001,1.0
Lijie Wen,Akhil Kumar 0001,1.0
Akihiro Yoshida,Akira Tanaka,1.0
Akihiro Yoshida,Katsuki Fujisawa,1.0
Akihiro Yoshida,Kenichi Nagamatsu,1.0
Akihiro Yoshida,Nariaki Tateiwa,1.0
Akihiro Yoshida,Nozomi Hata,1.0
Akihiro Yoshida,Takashi Wakamatsu,1.0
Akihiro Yoshida,Tatsuru Higurashi,1.0
Akihiro Yoshida,Yosuke Yatsushiro,1.0
Akil Arif Ibrahim,Prithviraj Chavan,1.0
Shiv Kumar Saini,Akil Arif Ibrahim,1.0
Sunny Dhamnani,Akil Arif Ibrahim,1.0
Satoshi Kuwamoto,Akinori Asahara,1.0
Yu Kitano,Akinori Asahara,1.0
Akira Tanaka,Katsuki Fujisawa,1.0
Akira Tanaka,Kenichi Nagamatsu,1.0
Nariaki Tateiwa,Akira Tanaka,1.0
Nozomi Hata,Akira Tanaka,1.0
Takashi Wakamatsu,Akira Tanaka,1.0
Tatsuru Higurashi,Akira Tanaka,1.0
Yosuke Yatsushiro,Akira Tanaka,1.0
Akshay Aggarwal,Chuck Bear,1.0
Akshay Aggarwal,Jaimin Dave,1.0
Akshay Aggarwal,Michael Leuchtenburg,1.0
Akshay Aggarwal,Nga Tran,1.0
Thao Pham,Akshay Aggarwal,1.0
Yuanzhe Bei,Akshay Aggarwal,1.0
Akshay Krishnamurthy,Andrew McCallum,1.0
Ari Kobren,Akshay Krishnamurthy,1.0
Akshay Krishnamurthy,Michael R. Glass,1.0
Nicholas Monath,Akshay Krishnamurthy,1.0
Alan B. Cannaday II,Curt H. Davis,1.0
Alan B. Cannaday II,Grant J. Scott,1.0
Alan B. Cannaday II,James Alex Hurt,1.0
Alan B. Cannaday II,Raymond L. Chastain,1.0
Alan Martin,Ana Catarino,1.0
Alan Martin,Andrew D. Blackwell,1.0
Michael P. Ewbank,Alan Martin,1.0
Ronan Cummins,Alan Martin,1.0
Alan Martin,Valentin Tablan,1.0
Elissa M. Redmiles,Alan Mislove,1.0
Giridhari Venkatadri,Alan Mislove,1.0
Alan Mislove,Krishna P. Gummadi,1.0
Alan Mislove,Michelle L. Mazurek,1.0
Alan Mislove,Oana Goga,1.0
Piotr Sapiezynski,Alan Mislove,1.0
Alana Shine,David Kempe 0001,1.0
Bernhard Pfahringer,Albert Bifet,1.0
Dihia Boulegane,Albert Bifet,2.0
Albert Bifet,Dong-Wan Choi,1.0
Albert Bifet,Ghislain Fiévet,1.0
Albert Bifet,Giyyarpuram Madhusudan,1.0
Heitor Murilo Gomes,Albert Bifet,2.0
Albert Bifet,Jimin Sohn,1.0
Minh-Huong Le Nguyen,Albert Bifet,1.0
Mostafa Haghir Chehreghani,Albert Bifet,1.0
Nedeljko Radulovic,Albert Bifet,1.0
Rodrigo Fernandes de Mello,Albert Bifet,1.0
Albert Bifet,Seojeong Yu,1.0
Albert Bifet,Talel Abdessalem,1.0
Albert Bifet,Yeonwoo Nam,1.0
Albert Flaig,Kurt Rothermel,1.0
Sukanya Bhowmik,Albert Flaig,1.0
Devki Nandan Jha,Albert Y. Zomaya,1.0
Michael Nee,Albert Y. Zomaya,1.0
Albert Y. Zomaya,Rajiv Ranjan,1.0
Zhenyu Wen,Albert Y. Zomaya,1.0
Alberto Cano 0001,Bartosz Krawczyk,1.0
Lukasz Korycki,Alberto Cano 0001,1.0
Cristian Consonni,Alberto Montresor,1.0
David Laniado,Alberto Montresor,1.0
Alberto Tarable,Alessandro Nordio,1.0
Mahesh K. Marina,Alberto Tarable,1.0
Marco Fiore,Alberto Tarable,1.0
Rajkarn Singh,Alberto Tarable,1.0
Aldo Lipani,Emine Yilmaz,2.0
Qiang Zhang 0026,Aldo Lipani,2.0
Shangsong Liang,Aldo Lipani,2.0
Aldo Lipani,Zhaochun Ren,1.0
Aldrich Mangune,Bin Yu,1.0
Aldrich Mangune,Cricket Liu,1.0
Junlan Lu,Aldrich Mangune,1.0
Aldrich Mangune,Magdalini Eirinaki,1.0
Nikhil Takappa Saunshi,Aldrich Mangune,1.0
Alireza Abdoli,Alec C. Gerry,1.0
Amy C. Murillo,Alec C. Gerry,1.0
Alec C. Gerry,Eamonn J. Keogh,1.0
Alkiviadis Giannakoulias,Aleksandar Jevremovic,1.0
Igor Kotsiuba,Aleksandar Jevremovic,1.0
Inna Skarga-Bandurova,Aleksandar Jevremovic,1.0
Mykhailo Chaikin,Aleksandar Jevremovic,1.0
Aleksander Fabijan,Jayant Gupchup,1.0
Aleksander Fabijan,Jeff Omhover,1.0
Aleksander Fabijan,Lukas Vermeer,1.0
Aleksander Fabijan,Pavel A. Dmitriev,1.0
Aleksander Fabijan,Somit Gupta,1.0
Aleksander Fabijan,Wen Qin,1.0
Jieming Mao,Aleksandrs Slivkins,1.0
Nicole Immorlica,Aleksandrs Slivkins,1.0
Aleksandrs Slivkins,Zhiwei Steven Wu,1.0
Ariel Fuxman,Aleksei Timofeev,1.0
Aleksei Timofeev,Chao Jia,1.0
Aleksei Timofeev,Chen Sun,1.0
Chun-Ta Lu,Aleksei Timofeev,1.0
Krishnamurthy Viswanathan,Aleksei Timofeev,1.0
Manan Shah,Aleksei Timofeev,1.0
Zhen Li,Aleksei Timofeev,1.0
Aleksei Triastcyn,Boi Faltings,1.0
Daniel Cunnington,Alessandra Russo,1.0
Dinesh C. Verma,Alessandra Russo,1.0
Elisa Bertino,Alessandra Russo,2.0
Alessandra Russo,Graham White 0002,1.0
Mark Law,Alessandra Russo,1.0
Seraphin B. Calo,Alessandra Russo,2.0
Alessandro Bozzon,Geert-Jan Houben,1.0
Sihang Qiu,Alessandro Bozzon,1.0
Alessandro Celestini,Enrico Mastrostefano,1.0
Alessandro Celestini,Flavio Lombardi,1.0
Massimo Bernaschi,Alessandro Celestini,1.0
Alessandro Celestini,Stefano Guarino,1.0
Alessandro Epasto,Bryan Perozzi,1.0
Alessandro Epasto,Hossein Esfandiari,1.0
Alessandro Epasto,Mohammad Mahdian,1.0
Alessandro Epasto,Ravi Kumar 0001,1.0
Sara Ahmadian,Alessandro Epasto,1.0
Alessandro Epasto,Vahab S. Mirrokni,1.0
Mahesh K. Marina,Alessandro Nordio,1.0
Marco Fiore,Alessandro Nordio,1.0
Rajkarn Singh,Alessandro Nordio,1.0
Alessandro Nuara,Francesco Trovò,1.0
Alessandro Nuara,Marcello Restelli,1.0
Alessandro Nuara,Maria Chiara Zaccardi,1.0
Alessandro Nuara,Nicola Gatti 0001,1.0
Alessandro Nuara,Nicola Sosio,1.0
Christian Quadri,Alessia Galdeman,1.0
Alessia Galdeman,Gian Paolo Rossi 0001,1.0
Matteo Zignani,Alessia Galdeman,1.0
Alessia Galdeman,Sabrina Gaito,1.0
Alessio Conte,Donatella Firmani,1.0
Alessio Conte,Maurizio Patrignani,1.0
Alessio Conte,Riccardo Torlone,1.0
Alessio Pagliari,Fabrice Huet,1.0
Alessio Pagliari,Guillaume Urvoy-Keller,1.0
Alessio Signorini,Andrew Trister,1.0
