Author 1,Author 2,Weights
Austin Harris 0002,Amanda O'Grady,1.0
Jose Stovall,Amanda O'Grady,1.0
Amanda O'Grady,Mina Sartipi,1.0
Mahardhika Pratama,Choiru Za'in,1.0
Choiru Za'in,Weiping Ding 0001,1.0
Choiru Za'in,Yew-Soon Ong,1.0
Tobias Grubenmann,Daniele Dell'Aglio,1.0
John O'Donovan,Sibel Adali,1.0
Sam Duddy,Liz O'Sullivan,1.0
Xu Liu,Liz O'Sullivan,1.0
Tomoyuki Noguchi,Shin'ichi Satoh,1.0
Yusuke Kawata,Shin'ichi Satoh,1.0
A. B. M. Moniruzzaman,Balasubramaniam Thirunavukarasu,1.0
A. B. M. Moniruzzaman,Maolin Tang,1.0
A. B. M. Moniruzzaman,Richi Nayak,1.0
A. B. Siddique,Ahmed Eldawy,1.0
A. B. Siddique,Vagelis Hristidis,1.0
Alan B. Cannaday II,A. J. Maltenfort,1.0
Curt H. Davis,A. J. Maltenfort,1.0
Grant J. Scott,A. J. Maltenfort,1.0
James Alex Hurt,A. J. Maltenfort,1.0
Raymond L. Chastain,A. J. Maltenfort,1.0
Ozgun Pinarer,A. Teoman Naskali,1.0
Sultan Turhan,A. Teoman Naskali,1.0
Yunus Emre Karazag,A. Teoman Naskali,1.0
Aminul Islam,AKM Shahariar Azad Rabby,1.0
Fuad Rahman,AKM Shahariar Azad Rabby,1.0
Shilpa Balan,Aakanksha Tasgaonkar,1.0
Tanvi Gawade,Aakanksha Tasgaonkar,1.0
Aakash Sabharwal,Adam Henderson,1.0
Aakash Sabharwal,Diane Hu,1.0
Hao Jiang,Aakash Sabharwal,1.0
Aakash Sabharwal,Liangjie Hong,1.0
Aakash Srinivasan,Akil Arif Ibrahim,1.0
Aakash Srinivasan,Prithviraj Chavan,1.0
Shiv Kumar Saini,Aakash Srinivasan,1.0
Sunny Dhamnani,Aakash Srinivasan,1.0
Ian Anderson 0003,Aaron Clauset,1.0
Samuel F. Way,Aaron Clauset,1.0
Santiago Gil,Aaron Clauset,1.0
Aaron Coburn,Adam Soroka,1.0
Gregory Jansen,Aaron Coburn,1.0
Aaron Coburn,Richard Marciano,1.0
Aaron Feng,Alon Y. Halevy,1.0
Aaron Feng,Ekaterina Pavlovic,1.0
Aaron Feng,George A. Mihaila,1.0
Aaron Feng,Huining Liu,1.0
Aaron Feng,Jinfeng Li,1.0
Aaron Feng,John Morales,1.0
Aaron Feng,Natalie Nuno,1.0
Sara Evensen,Aaron Feng,1.0
Aaron Feng,Vivian Li,1.0
Aaron Feng,Wang-Chiew Tan,1.0
Aaron Feng,Xiaolan Wang 0001,1.0
Aaron Feng,Yuliang Li 0001,1.0
Alfonso Lobos Ruiz,Aaron Flores,1.0
Junwei Pan,Aaron Flores,1.0
Yizhi Mao,Aaron Flores,1.0
Yu Sun,Aaron Flores,1.0
Aaron Harwood,Amila Silva,1.0
Christopher Leckie,Aaron Harwood,1.0
Jeffrey Chan,Aaron Harwood,1.0
Aaron Harwood,Kwan Hui Lim 0001,2.0
Aaron Harwood,Lucia Falzon,1.0
Aaron Harwood,Michelle Vanni,1.0
Aaron Harwood,Prarthana Padia,2.0
Aaron Harwood,Shanika Karunasekera,3.0
Yasmeen M. George,Aaron Harwood,1.0
Yi Han 0003,Aaron Harwood,1.0
André T. Nguyen,Aaron Sant-Miller,1.0
Edward Raff,Aaron Sant-Miller,1.0
Ali Jahanshahi,Abbas Mazloumi,1.0
Abbas Mazloumi,Hadi Zamani Sabzi,1.0
Mohsen Karimi,Abbas Mazloumi,1.0
Abbas Mazloumi,Rajiv Gupta 0001,2.0
Abbas Mazloumi,Xiaolin Jiang,1.0
Abdalghani Abujabal,Gerhard Weikum,1.0
Abdalghani Abujabal,Jyotsna Singh,1.0
Philipp Christmann,Abdalghani Abujabal,1.0
Rishiraj Saha Roy,Abdalghani Abujabal,1.0
Abdelouahab Khelifati,Mourad Khayati,1.0
Abdelouahab Khelifati,Philippe Cudré-Mauroux,1.0
Reham M. Alamro,Abdou S. Youssef,2.0
Christine Hines,Abdou Youssef,1.0
Jonathan T. Apple,Abdul Rawoof Pinjari,1.0
Sashikanth Gurram,Abdul Rawoof Pinjari,1.0
Vijayaraghavan Sivaraman,Abdul Rawoof Pinjari,1.0
Abdulah Fawaz,Paul Klein,1.0
Abdulah Fawaz,Peter Mountney,1.0
Abdulah Fawaz,Sebastien Piat,1.0
Abdulah Fawaz,Simone Severini,1.0
Emad A. Felemban,Abdulaziz Fatani,1.0
Abdulaziz Fatani,Faizan Ur Rehman,1.0
Abdullah Mueen,Amanda J. Minnich,1.0
Farhan Asif Chowdhury,Abdullah Mueen,1.0
M. Ashraf Siddiquee,Abdullah Mueen,1.0
Abdullah Mueen,Nikan Chavoshi,1.0
Noor Abu-El-Rub,Abdullah Mueen,1.0
Satomi Suzuki,Abdullah Mueen,1.0
Zeinab Akhavan,Abdullah Mueen,1.0
Ashish Mahabal,Abdullah al-Raihan Nayeem,1.0
Isaac Cho,Abdullah al-Raihan Nayeem,1.0
Abdullah al-Raihan Nayeem,Junsong Yuan,1.0
Mohammed Elshambakey,Abdullah al-Raihan Nayeem,1.0
Abdullah al-Raihan Nayeem,S. George Djorgovski,1.0
Sreyasee Das Bhattacharjee,Abdullah al-Raihan Nayeem,1.0
William J. Tolone,Abdullah al-Raihan Nayeem,1.0
Abdullah-Al Mamun 0002,Nalini Ravishanker,1.0
Abdullah-Al Mamun 0002,Sanguthevar Rajasekaran,1.0
Abdullah-Al Mamun 0002,Xingyu Cai,1.0
Zigeng Wang,Abdullah-Al Mamun 0002,1.0
Abhijnan Chakraborty,Asia J. Biega,2.0
Abhijnan Chakraborty,Hoda Heidari,1.0
Abhijnan Chakraborty,Krishna P. Gummadi,2.0
Meike Zehlike,Abhijnan Chakraborty,1.0
Abhijnan Chakraborty,Nuno Mota,1.0
Tom Sühr,Abhijnan Chakraborty,1.0
Abhilash Reddy Chenreddy,Parshan Pakiman,1.0
Abhilash Reddy Chenreddy,Ranganathan Chandrasekaran,1.0
Abhilash Reddy Chenreddy,Rick Abens,1.0
Abhilash Reddy Chenreddy,Selvaprabu Nadarajah,1.0
Amey Agrawal,Abhishek Dixit,1.0
Abhishek Dixit,Darshil Kapadia,1.0
Abhishek Dixit,Namrata A. Shettar,1.0
Abhishek Dixit,Rajat Gupta,1.0
Abhishek Dixit,Rohit Karlupia,1.0
Abhishek Dixit,Vikram Agrawal,1.0
Abhishek Dubey,Bruno Leão,1.0
Sanchita Basak,Abhishek Dubey,1.0
Abhishek Goswami,Artidoro Pagnoni,1.0
Abhishek Goswami,Gal Oshri,1.0
Abhishek Goswami,Gani Nazirov,1.0
Abhishek Goswami,Gleb Krivosheev,1.0
