Author 1,Author 2,Weights
Cosimo Palazzo,Alessandro D'Anca,1.0
Alessandro D'Anca,Dean N. Williams,1.0
Donatello Elia,Alessandro D'Anca,1.0
Alessandro D'Anca,Fabrizio Antonio,1.0
Alessandro D'Anca,Giovanni Aloisio,1.0
Alessandro D'Anca,Ian T. Foster,1.0
Sandro Fiore,Alessandro D'Anca,1.0
Muhammad Imran Khan 0001,Barry O'Sullivan,1.0
Barry O'Sullivan,Simon N. Foley,1.0
Marco Avvenuti,Felice Dell'Orletta,1.0
Maurizio Tesconi,Felice Dell'Orletta,1.0
Stefano Cresci,Felice Dell'Orletta,1.0
Le Gruenwald,Laurent d'Orazio,1.0
Trung-Dung Le,Laurent d'Orazio,1.0
Verena Kantere,Laurent d'Orazio,1.0
Zach Arani,Laurent d'Orazio,1.0
Aras Can Onal,A. Murat Ozbayoglu,1.0
A. Murat Ozbayoglu,Erdogan Dogdu,1.0
Omer Berat Sezer,A. Murat Ozbayoglu,1.0
Madhavan R. Padmanabhan,A. Pavan 0001,1.0
Naresh Somisetty,A. Pavan 0001,1.0
Samik Basu 0001,A. Pavan 0001,1.0
Amit Gajbhiye,A. Stephen McGough,1.0
Noura Al Moubayed,A. Stephen McGough,1.0
Sardar F. Jaf,A. Stephen McGough,1.0
Steven Bradley,A. Stephen McGough,1.0
Connor Mullane,Aakanksha Singh,1.0
Mohammad Hanaee,Aakanksha Singh,1.0
Richard Marciano,Aakanksha Singh,1.0
William Underwood,Aakanksha Singh,1.0
Aakanksha Singh,Zayden Tethong,1.0
Aamir Mandviwalla,Bo Ji,1.0
Aamir Mandviwalla,Keita Ohshiro,1.0
Sachini Jayasekara,Aaron Harwood,2.0
Shanika Karunasekera,Aaron Harwood,2.0
Xunyun Liu,Aaron Harwood,1.0
Aastha Jain,Hema Raghavan,1.0
Kijung Shin,Aastha Jain,1.0
Mahdi Shafiei,Aastha Jain,1.0
Myunghwan Kim 0002,Aastha Jain,1.0
Abdalghani Abujabal,Gerhard Weikum,2.0
Abdalghani Abujabal,Jannik Strötgen,1.0
Abdalghani Abujabal,Mohamed Yahya,1.0
Abdalghani Abujabal,Rishiraj Saha Roy,2.0
Zhen Jia,Abdalghani Abujabal,1.0
Abdel-Hameed A. Badawy,Janice O. McMahon,1.0
Matthew Bredin,Abdel-Hameed A. Badawy,1.0
Abdel-Hameed A. Badawy,Shannon K. Kuntz,1.0
Abdeltawab M. Hendawi,Ankur Teredesai,1.0
Abdeltawab M. Hendawi,Jayant Gupta,1.0
Abdeltawab M. Hendawi,Jiayi Liu,1.0
Abdeltawab M. Hendawi,Mohak Shah,1.0
Abdeltawab M. Hendawi,Mohamed H. Ali,1.0
Abdeltawab M. Hendawi,Naveen Ramakrishnan,1.0
Abdulhakim Ali Qahtan,Ahmed K. Elmagarmid,1.0
Abdulhakim Ali Qahtan,Mourad Ouzzani,1.0
Abdulhakim Ali Qahtan,Nan Tang 0001,1.0
Abdulhakim Ali Qahtan,Raul Castro Fernandez,1.0
Abdullah Al-Mamun 0001,Dongfang Zhao 0001,2.0
Abdullah Al-Mamun 0001,Hui Lin,1.0
Abdullah Al-Mamun 0001,Mohammad Sadoghi,1.0
Abdullah Al-Mamun 0001,Tonglin Li,2.0
Ye Niu,Abdullah Al-Mamun 0001,1.0
Abdullah Al-Mamun 0001,Yi Zhao,1.0
Abdullah Alfarrarjeh,Akshay Deshmukh,1.0
Abdullah Alfarrarjeh,Cyrus Shahabi,2.0
Abdullah Alfarrarjeh,Dweep Trivedi,1.0
Abdullah Alfarrarjeh,Seon Ho Kim,2.0
Abdullah Alfarrarjeh,Shivnesh Rajan,1.0
Hossein Hamooni,Abdullah Mueen,1.0
Abdulrahman Azab,Antti Pursula,1.0
Abdulrahman Azab,Eivind Hovig,1.0
Abdulrahman Azab,Hein Meling,1.0
Andrea Gulino,Abdulrahman Kaitoua,1.0
Arif Canakoglu,Abdulrahman Kaitoua,1.0
Abdulrahman Kaitoua,Luca Nanni,1.0
Abdulrahman Kaitoua,Marco Masseroli,1.0
Abdulrahman Kaitoua,Pietro Pinoli,1.0
Stefano Ceri,Abdulrahman Kaitoua,1.0
Niki Pissinou,Abdur R. Shahid,1.0
S. S. Iyengar 0001,Abdur R. Shahid,1.0
Samia Tasnim,Abdur R. Shahid,1.0
Yujian Charles Tang,Abdur R. Shahid,1.0
Abdurrahman Yasar,Ümit V. Çatalyürek,1.0
Abhijin Adiga,Chris J. Kuhlman,1.0
Abhijin Adiga,Daniel J. Rosenkrantz,1.0
Abhijin Adiga,Madhav V. Marathe,1.0
Abhijin Adiga,Richard Edwin Stearns,1.0
Abhijin Adiga,S. S. Ravi,1.0
Abhijin Adiga,Vanessa Cedeno-Mieles,1.0
Abhijit Suresh,Bill Foland,1.0
Abhijit Suresh,Isabella Huang,1.0
Abhijit Suresh,Jennifer Jacobs,1.0
Abhijit Suresh,Tamara Sumner,1.0
Abhijit Suresh,Wayne H. Ward,1.0
Fabrício Benevenuto,Abhijnan Chakraborty,1.0
Filipe Nunes Ribeiro,Abhijnan Chakraborty,1.0
Abhijnan Chakraborty,Juhi Kulshrestha,1.0
Abhijnan Chakraborty,Krishna P. Gummadi,1.0
Lucas Henrique C. Lima,Abhijnan Chakraborty,1.0
Abhijnan Chakraborty,Mahmoudreza Babaei,1.0
Abhimanyu Das,Anthony Kim,1.0
Abhimanyu Das,Chaitanya Swamy,1.0
Abhimanyu Das,Debmalya Panigrahi,1.0
Abhimanyu Das,Sreenivas Gollapudi,1.0
Abhimanyu Dubey,Esteban Moro,1.0
Abhimanyu Dubey,Iyad Rahwan,1.0
Abhimanyu Dubey,Manuel Cebrián,1.0
Abon Chaudhuri,Abhinandan Krishnan,1.0
Aditya Subramanian,Abhinandan Krishnan,1.0
Abhinandan Krishnan,Alessandro Magnani,1.0
Paolo Messina,Abhinandan Krishnan,1.0
Samrat Kokkula,Abhinandan Krishnan,1.0
Abhinandan Krishnan,Shreyansh Gandhi,1.0
Abhinandan Krishnan,Venkatesh Kandaswamy,1.0
Abhinav Goel,Ronald D. Blanton,1.0
Abhinav Goel,Zeye Liu 0001,1.0
Abhinav Khattar,Arpit Gogia,1.0
Abhinav Khattar,Ponnurangam Kumaraguru,1.0
Srishti Gupta,Abhinav Khattar,1.0
Abhinav Khattar,Tanmoy Chakraborty 0002,1.0
Charles Siegel,Abhinav Vishnu,1.0
Garrett B. Goh,Abhinav Vishnu,1.0
Abhinav Vishnu,Nathan Oken Hodas,1.0
Abhinav Wagle,Don Matheson,1.0
Abhinav Wagle,Junwei Pan,1.0
Miao Chen,Abhinav Wagle,1.0
Abhinav Wagle,Michael Natkovich,1.0
Yizhi Mao,Abhinav Wagle,1.0
Abhishek Tiwari,Erman Pattuk,1.0
Issac Buenrostro,Abhishek Tiwari,1.0
Abhishek Tiwari,Vasanth Rajamani,1.0
Abhishek Tiwari,Zhixiong Chen,1.0
Abid Jamil,Kashif Asif,1.0
Abid Jamil,Muhammad Kashif Nazir,1.0
Abid Jamil,Rehan Ashraf,1.0
Abid Jamil,Syed Mudassar Alam,1.0
Abid Jamil,Zikra Ghulam,1.0
Avirup Saha,Abir De,1.0
Bidisha Samanta,Abir De,1.0
Niloy Ganguly,Abir De,2.0
Abir De,Sourangshu Bhattacharya,1.0
Abishek Puri,Huamin Qu,1.0
Abishek Puri,Linping Yuan,1.0
Yuanzhe Chen,Abishek Puri,1.0
Abner Mendoza,Guofei Gu,1.0
Abner Mendoza,Phakpoom Chinprutthiwong,1.0
Abon Chaudhuri,Aditya Subramanian,1.0
Abon Chaudhuri,Alessandro Magnani,1.0
Abon Chaudhuri,Paolo Messina,1.0
Abon Chaudhuri,Samrat Kokkula,1.0
