Author 1,Author 2,Weights
Brian O'Connor,Jibril Shittu,1.0
Brian O'Connor,Patrick McLeod,1.0
Brian O'Connor,Rich Anderson,1.0
Brian O'Connor,Shailesh Kulkarni,1.0
Diarmuid O'Reilly-Morgan,Elias Z. Tragos,1.0
Diarmuid O'Reilly-Morgan,James Geraci,1.0
Khalil Muhammad,Diarmuid O'Reilly-Morgan,1.0
Diarmuid O'Reilly-Morgan,Neil Hurley,1.0
Qinqin Wang,Diarmuid O'Reilly-Morgan,1.0
Enda O'Shea,Rafflesia Khan,1.0
Enda O'Shea,Tiziana Margaria,1.0
Shin'ichiro Takizawa,Takahiro Hamanishi,1.0
Yusuke Tanimura,Shin'ichiro Takizawa,1.0
Suwen Lin,Sidney D'Mello,1.0
A. B. Siddique,Fuad T. Jamour,1.0
A. B. Siddique,Samet Oymak,1.0
Umar Farooq 0002,A. B. Siddique,1.0
A. B. Siddique,Vagelis Hristidis,2.0
A. B. Siddique,Zhijia Zhao 0001,1.0
Alan B. Cannaday,A. J. Maltenfort,1.0
Curt H. Davis,A. J. Maltenfort,1.0
A. K. M. Shahariar Azad Rabby,Fuad Rahman,1.0
A. K. M. Shahariar Azad Rabby,Jebun Nahar,1.0
A. K. M. Shahariar Azad Rabby,Md. Majedul Islam,1.0
A. K. M. Shahariar Azad Rabby,Nazmul Hasan,1.0
A. K. Singh,Navneet Goyal,1.0
Batihan Sener,A. Murat Ozbayoglu,1.0
Gokberk Serin,A. Murat Ozbayoglu,1.0
A. Murat Ozbayoglu,Hakki Özgür Ünver,1.0
M. Ugur Gudelek,A. Murat Ozbayoglu,1.0
Alexander J. M. Kell,A. Stephen McGough,1.0
Amir Atapour Abarghouei,A. Stephen McGough,1.0
A. Stephen McGough,David S. Wall,1.0
Matthew Forshaw,A. Stephen McGough,1.0
Aabhas Chauhan,Jiawei Han 0001,1.0
Aabhas Chauhan,Qi Li,1.0
Xuan Wang,Aabhas Chauhan,1.0
Yu Zhang,Aabhas Chauhan,1.0
Baodi Shan,Aabid Shamji,1.0
Aabid Shamji,Dingwen Tao,1.0
Aabid Shamji,Guanpeng Li,1.0
Aabid Shamji,Jiannan Tian,1.0
Aamir Manaswala,Bradley C. Turnbull,1.0
Lanbo Zhang,Aamir Manaswala,1.0
Aamir Manaswala,Lynn Yang,1.0
Malay Haldar,Aamir Manaswala,1.0
Mustafa Abdool,Aamir Manaswala,1.0
Prashant Ramanathan,Aamir Manaswala,1.0
Aamir Manaswala,Qing Zhang,1.0
Aamir Manaswala,Thomas Legrand,1.0
Tyler Sax,Aamir Manaswala,1.0
Aamir Mansawala,Bradley C. Turnbull,1.0
Aamir Mansawala,Junshuo Liao,1.0
Lanbo Zhang,Aamir Mansawala,1.0
Malay Haldar,Aamir Mansawala,1.0
Mustafa Abdool,Aamir Mansawala,1.0
Prashant Ramanathan,Aamir Mansawala,1.0
Aamir Mansawala,Shulin Yang,1.0
Tyler Sax,Aamir Mansawala,1.0
Eugene Castillo,Aaron Choate,1.0
Hanna Robbins Hopkins,Aaron Choate,1.0
Kewen Wang,Aaron Choate,1.0
Maria Esteva,Aaron Choate,1.0
Peter Cui,Aaron Choate,1.0
Aaron Choate,Ruizhu Huang,1.0
Tanya Clement,Aaron Choate,1.0
Weijia Xu,Aaron Choate,1.0
Aaron D. Vose,Amar G. Chittiboyina,1.0
Aaron D. Vose,Charles R. Yates,1.0
Aaron D. Vose,Ikhlas A. Khan,1.0
Jacob Balma,Aaron D. Vose,1.0
Aaron D. Vose,Pankaj Pandey,1.0
Aaron D. Vose,Sreenivas R. Sukumar,1.0
Aaron D. Vose,Yuri K. Peterson,1.0
Bharatbhushan Shetty,Aaron Flores,1.0
Brendan Kitts,Aaron Flores,1.0
Djordje Gligorijevic,Aaron Flores,2.0
Jelena Gligorijevic,Aaron Flores,1.0
Junwei Pan,Aaron Flores,1.0
Shengjun Pan,Aaron Flores,1.0
Tian Zhou,Aaron Flores,1.0
Nicholas O. Malott,Aaron M. Sens,1.0
Aaron M. Sens,Philip A. Wilsey,1.0
Balaje T. Thumati,Aaron Page,1.0
Aaron Page,David Followell,1.0
Halasya Siva Subramania,Aaron Page,1.0
Karthik Kalyana Kumar,Aaron Page,1.0
Nicole Hessner,Aaron Page,1.0
Rajeev Shastri,Aaron Page,1.0
Vincent Villa,Aaron Page,1.0
Aarzoo Dhiman,Durga Toshniwal,1.0
Aasish Pappu,Brian Brost,1.0
Federico Tomasi,Aasish Pappu,1.0
Aasish Pappu,Hugo Galvão,1.0
Aasish Pappu,Judith Bütepage,1.0
Aasish Pappu,Mounia Lalmas,1.0
Rishabh Mehrotra,Aasish Pappu,1.0
Abbas Mazloumi,Chengshuo Xu,1.0
