Author 1,Author 2,Weights
Achla Marathe,K. S. Nitin,1.0
Achla Marathe,Lalit P. Sah,1.0
Achla Marathe,Luke A. Colavito,1.0
Achla Marathe,Madhav Marathe,1.0
Achla Marathe,R. Asokan,1.0
Achla Marathe,Rangaswamy Muniappan,1.0
Sichao Wu,Achla Marathe,1.0
Srinivasan Venkatramanan,Achla Marathe,1.0
Achla Marathe,Stephen G. Eubank,1.0
Achla Marathe,V. Sridhar,1.0
Adam Barker,Blesson Varghese,1.0
Sheriffo Ceesay,Adam Barker,1.0
Adam Bates 0001,Alin Dobra,1.0
Adam Bates 0001,Bradley Reaves,1.0
Adam Bates 0001,Kevin R. B. Butler,1.0
Adam Bates 0001,Nabil Schear,1.0
Adam Bates 0001,Patrick T. Cable II,1.0
Adam Bates 0001,Thomas Moyer,1.0
Adam Bates 0001,Wajih Ul Hassan,1.0
Adam Dalton 0001,Bonnie J. Dorr,1.0
Adam Dalton 0001,Kristy Hollingshead,1.0
Adam Dalton 0001,Leon Liang,1.0
Adam Fourney,Eric Horvitz,1.0
Adam Fourney,Gireeja Ranade,1.0
Adam Fourney,Markus Mobius,1.0
Adam Fourney,Meredith Ringel Morris,1.0
Adam Fourney,Miklós Z. Rácz,1.0
Adam Fourney,Ryen W. White,1.0
Brittni Ballard,Adam Gray,1.0
Carl Apgar,Adam Gray,1.0
David Baasch,Adam Gray,1.0
Keona Holden,Adam Gray,1.0
Adam Gray,Leigh Plummer,1.0
Luis Beteta,Adam Gray,1.0
Marisa Gilman,Adam Gray,1.0
Adam Gray,Mayanka Jha,1.0
Adam Gray,Namrata Walanj,1.0
Richard Marciano,Adam Gray,1.0
Riss Hardcastle,Adam Gray,1.0
Sandra Laib,Adam Gray,1.0
Tricia Glaser,Adam Gray,1.0
Waleed Falak,Adam Gray,1.0
William Underwood,Adam Gray,1.0
Yun Huang,Adam Gray,1.0
Adam Gray,Zeynep Diker,1.0
Adam Jatowt,Antal van den Bosch,1.0
Gaël Dias,Adam Jatowt,1.0
Adam Jatowt,Katsumi Tanaka,1.0
Adam Jatowt,Marten Düring,1.0
Mohammed Hasanuzzaman,Adam Jatowt,1.0
Adam Jatowt,Ricardo Campos 0001,1.0
Yating Zhang,Adam Jatowt,1.0
Charles L. A. Clarke,Adam Roegiest,1.0
Gordon V. Cormack,Adam Roegiest,1.0
Jimmy J. Lin,Adam Roegiest,1.0
Longbo Huang,Adam Wierman,1.0
Zhixuan Fang,Adam Wierman,1.0
Adil Alim,Aparna Joshi,1.0
Adil Alim,Catherine T. Lawson,1.0
Adil Alim,Feng Chen 0001,1.0
Adisak Sukul,Baskar Gopalakrishnan,1.0
Adisak Sukul,David A. M. Peterson,1.0
Adisak Sukul,Wallapak Tavanapong,1.0
Adit Krishnan,Aravind Sankar,1.0
Adit Krishnan,Jiawei Han 0001,1.0
Adit Krishnan,Shi Zhi,1.0
Aditya Krishna Menon,Young Lee,1.0
Enis Ceyhun Alp,Adria Jewell,1.0
Jonathan Koller,Adria Jewell,1.0
Matthew Malloy,Adria Jewell,1.0
Paul Barford,Adria Jewell,1.0
Adrian Albert,Jasleen Kaur,1.0
Adrian Albert,Marta C. González,1.0
Lee Wilson,Adrienne Colborne,1.0
Adrienne Colborne,Michael Smit,2.0
Adwait Ratnaparkhi,Ben Shahshahani,1.0
Ming Yang,Adwait Ratnaparkhi,1.0
Parikshit Shah,Adwait Ratnaparkhi,1.0
Adwait Ratnaparkhi,Rohit Chandra,1.0
Sachidanand Alle,Adwait Ratnaparkhi,1.0
Allard J. van Altena,Aeilko H. Zwinderman,1.0
Perry D. Moerland,Aeilko H. Zwinderman,1.0
Aeilko H. Zwinderman,Sílvia D. Olabarriaga,1.0
Aekyeung Moon,Hang Liu,1.0
Aekyeung Moon,Jaeyoung Kim,1.0
Aekyeung Moon,Jialing Zhang,1.0
Aekyeung Moon,Seung Woo Son 0001,1.0
Aghiles Salah,Melissa Ailem,1.0
Aghiles Salah,Mohamed Nadif,1.0
Dominik Slezak,Agnieszka Chadzynska-Krasowska,1.0
Agnieszka Chadzynska-Krasowska,Joel Holland,1.0
Agnieszka Chadzynska-Krasowska,Marcin Perkowski,1.0
